Comentario Original;text;Polaridad Manual;Polaridad Obtenida
El maestro nos deja ejercicios que no son de nuestro nivel.;  nos dej ejercici  no   nuestr nivel;negative;negative
Dominio total del tema, explica de forma excelente, he aprendido mucho;domini    explic  form excelent  aprend;negative;positive
Debería de entender al grupo y conocerlo para adecuar su clase.;deb  entend    conoc  adecu ;negative;positive
Le falta dominio hacia sus alumnos ya que algunos no ponen atención y les vale.; falt domini       no pon atencion  les val;negative;negative
Debería de disminuir la velocidad de explicación y ver temas a nuestro nivel.;deb  disminu  veloc  explic  ver   nuestr nivel;negative;negative
A LA MAESTRA LE FALTA EXPLICARNOS UN POCO MAS SOBRE LOS TEMAS QUE NO SE ENTIENDEN RÁPIDAMENTE Y SOLUCIONAR DUDAS.;    falt explic        no  entiend rapid  solucion;negative;negative
No respeta el horario de entrada ni de salida.;no respet     ni  sal;negative;neutral
En su clase me aburro y el profesor no impone autoridad.;    aburr    no impon autor;negative;negative
El profesor no mencionó al inicio del curso como serán las evaluaciones.;  no mencion  inici    seran ;negative;negative
Deberia dejarnos tarea para comenzar a dominar más los temas.;deberi dej   comenz  domin  ;negative;negative
SIEMPRE CON ACTIVIDADES GENIALES DE LA MATERIA.;siempr   genial  ;negative;positive
me gustaría que se involucrará mas en con la dinámica de grupo.; gust   involucr      ;negative;positive
El profesor no prepara sus clases ya que todo lo hace improvisado.;  no prep       hac improvis;negative;negative
Solo falta un poco mas de apoyo por parte del profesor además debería de ser puntual.; falt     apoy  part    deb   puntual;negative;negative
Sus clases son muy agotadoras y no son de manera eficiente.;    agot  no   maner eficient;negative;negative
El profesor falta mucho sin avisar al grupo.;  falt   avis ;negative;negative
No es perseverante en sus explicaciones y no tiene control del grupo.;no  persever   explic  no tien control ;negative;positive
Debería fomentar mas el aprendizaje y no aprender solo teoría.;deb foment     no aprend  teor;negative;negative
Es un maestro malísimo y en su clase no se aprende mucho.;   malisim     no  aprend;negative;negative
considero que el profesor no sabe dar clases y no sabe nada de la materia que esta impartiendo;consider    no  dar   no        impart;negative;positive
Le hace falta mas como profesor ya que se desvía mucho de los temas.; hac falt       desv   ;negative;negative
Considero que el profesor tiene falta de experiencia y duda de sus explicaciones.;consider    tien falt       explic;negative;neutral
A este profesor le falta mas experiencia al momento de dar clase;    falt    moment  dar;negative;negative
Debería de fomentar mas la participación en la clase.;deb  foment   particip  ;negative;neutral
Le falta ser mas tolerante con el aprendizaje.; falt   toler  ;negative;neutral
hace falta retroalimentación de examenes.;hac falt retroaliment  examen;negative;neutral
Debe de planificar la clase y ser responsable.;deb  planific     respons;negative;negative
La mayoría de las veces no se le entiende a sus explicaciones.;    vec no   entiend   explic;negative;neutral
Todas las clases son monótonas y eso es muy cansado.;tod    monoton     cans;negative;negative
No prepara sus clases y tarda en explicar los temas.;no prep    tard  explic ;negative;negative
El profesor siempre muestra una actitud de enojo.;  siempr muestr  actitud deenoj;negative;positive
Es incumplido en asistir a clases y en el horario.; incumpl  asist     ;negative;positive
Debería de ser proactivo en sus clases y aprovechar mas sus clases.;deb   proactiv     aprovech  ;negative;negative
le falta explicar más y no dejar tanto trabajo de investigación ya que pierde gran cantidad de tiempo de clases.; falt explic   no     investig   pierd  cantid   ;negative;negative
Tiene preferencia con algunos alumnos y eso me molesta.;tien preferent       molest;negative;negative
creo que sus clases son muy rápidas me gustaría que fuera más despacio para comprender mejor.;cre      rap  gust  fuer  despaci  comprend mejor;negative;positive
El profesor es algo irrespetuoso en ciertas ocasiones.;    irrespetu  ciert ocasion;negative;negative
Es irrespetuoso con la mayoría de las personas y en ocasiones dice groserías.; irrespetu         ocasion dic gros;negative;negative
La forma en la que enseña no es la apropiada, ya que siempre tenemos dudas y siempre se molesta.; form    enseñ no   apropi   siempr    siempr  molest;negative;negative
No sabe explicar las cosas, por lo que nos cuesta entender los temas.;no  explic      nos cuest entend ;negative;neutral
Creo que no tiene total dominio de los temas, me he percatado que no trae preparadas las clases.;cre  no tien  domini      percat  no tra prepar ;negative;negative
Se molesta cuando se le pide que explique algo y no es capaz de establecer el orden.; molest    pid  expliqu   no  capaz  establec  orden;negative;positive
Sus clases son horriblemente tediosas y aburridas, no exige y no querer ni aclarar las dudas.;   horribl tedi  aburr no exig  no  ni aclar ;negative;negative
No sabe explicar los temas de clase y eso es absurdo.;no  explic        absurd;negative;negative
El maestro se exalta cuando recibe una opinión sobre su clase y además es una persona déspota.;   exalt  recib  opinion         despot;negative;negative
Es irracional y la mayoría de las veces viene con enojo a dar clase.; irracional      vec vien  enoj  dar;negative;negative
No respeta los horarios de entrada de la clase.;no respet      ;negative;neutral
Muy mal profesor y muy arbitraria además abusa de su poder.; mal    arbitrari  abus  ;negative;negative
Considero que no tiene un total dominio del tema.;consider  no tien   domini ;negative;positive
Intentamos aclarar una dudas pero la maestra no ayuda ni explica nada.; aclar   per   no ayud ni explic;negative;positive
la maestra siempre se pone en forma defensiva cuando nos dirigimos a ella.;  siempr  pon  form defens  nos dirig ;negative;positive
Pésima maestra se nota que es primeriza, no sabe escuchar.;pesim   not   primeriz no  escuch;negative;negative
Utiliza herramientas que nunca no ha enseñado a utilizar.;utiliz herramient  nunc no  enseñ  utiliz;negative;negative
Estoy inconforme con su manera de evaluar ya que siempre la adapta.; inconform   maner  evalu   siempr  adapt;negative;positive
Mal profesor y le falta mas explicación.;mal    falt  explic;negative;negative
NO IMPARTE PUNTUALMENTE LAS CLASES ADEMÁS SUS CLASES NO SON COMPLETAS.;no impart puntual      no  complet;negative;positive
No proporciona ponderaciones de los trabajos ya que falta uso de rubrica;no proporcion ponder   trabaj   falt   rubric;negative;negative
Conoce de los temas pero sus clases son muy tediosas y propician el desorden.;conoc    per     tedi  propici  desord;negative;negative
No impone disciplina, por este motivo no tienen la capacidad de controlar al grupo completo.;no impon disciplin   motiv no   capac  control   complet;negative;positive
Necesita tener mayor control del grupo y demostrar liderazgo como maestra.;necesit   control    demostr liderazg ;negative;negative
le falta aclarar de una manera mas adecuada las dudas.; falt aclar   maner  adecu ;negative;positive
En ocaciones se expresa mal hacia los alumnos siendo irrespetuosa.; ocacion  expres mal     irrespetu;negative;negative
Solo copia y pega información en una presentación y esa es su detestable clase.; copi  peg inform   present     detest;negative;negative
No conoce muy bien los temas que imparte por este motivo no estamos aprendiendo.;no conoc  bien    impart   motiv no  aprend;negative;positive
No es muy buena la clase y su actitud no es la adecuada cuando los alumnos tienen dudas.;no   buen     actitud no   adecu    ;negative;positive
Considero que el profesor no logra transmitir sus conocimientos adecuadamente.;consider    no logr transmit   adecu;negative;positive
DE LOS PEORES PROFESORES QUE HE CONOCIDO, NI SIQUIERA ES PUNTUAL.;  peor    conoc ni siqu  puntual;negative;positive
No sabe nada de la clase y solo copia ejercicios de los libros.;no        copi ejercici   libr;negative;negative
Una lástima tener un profesor tan mediocre.; lastim     mediocr;negative;negative
El profesor no cumple su función de enseñar mas bien le interesa solo socializar.;  no cumpl  funcion  enseñ  bien  interes  socializ;negative;positive
La clase es aburrida el profesor debería de usar material diferente como diapositivas, videos entre otros.;   aburr   deb    diferent  diaposit vide  otros;negative;negative
El profesor debería ser más accesible y menos egoísta con los alumnos atrasados.;  deb   acces   egoist    atras;negative;negative
Me gusta la clase, pero me gustaría más que fuera un poco más dinámica y no tan tediosa; gust   per  gust   fuer      no  tedios;negative;negative
Las clases son tediosas y la interacción con los alumnos es mínima .;   tedi   interaccion     minim;negative;negative
considero que debe ejercer mayor presencia en el grupo ya los alumnos se distraen con el desorden.;consider  deb ejerc  presenci        distr   desord;negative;negative
Las clases son muy interesantes y divertidas.;    interes  divert;positive;positive
Tiene mucha interacción con la clase y es dinámico.;tien  interaccion      dinam;positive;positive
El profesor imparte una buena explicación dentro de la clase.;  impart  buen explic   ;positive;positive
El profesor elimina dudas por su amplio conocimiento de los temas.;  elimin    ampli   ;positive;negative
La maestra explica correctamente usando ejemplos prácticos sobre la materia.;  explic correct usand  practic  ;positive;positive
Es una excelente maestra siempre cumple los objetivos de la clase.;  excelent  siempr cumpl  objet  ;positive;positive
Muy buena maestra ya que es de los pocos que dominan los temas completamente.; buen         domin   complet;positive;positive
ha sido muy bueno el curso y he aprendido bastante gracias al maestro.; sid  buen     aprend  graci ;positive;positive
Su forma de explicar es muy clara y entendible.; form  explic   clar  entend;positive;positive
Es una maestra que logra captar la atención de sus alumnos para proporcionar sus conocimientos.;    logr capt  atencion     proporcion ;positive;positive
ha sido muy bueno el curso y he aprendido bastante gracias al maestro.; sid  buen     aprend  graci ;positive;positive
Su forma de explicar es muy clara y entendible.; form  explic   clar  entend;positive;positive
Excelente clase, me gusta mucho su forma de trabajar y enseñar.;excelent   gust   form  trabaj  enseñ;positive;positive
El maestro imparte una clase de calidad.;  impart    calid;positive;positive
es respetuoso y congruente además de tener una excelente comunicación con el grupo.; respetu  congruent     excelent comun  ;positive;positive
Es muy buen profesor y nos tiene mucha paciencia.;  buen   nos tien  pacienci;positive;positive
El profesor utiliza un método de enseñanza adecuado para la clase.;  utiliz  metod  enseñ adecu  ;positive;positive
ME GUSTA MUCHO LA SERIEDAD CON LA QUE TOMA LAS CLASES.; gust   seried    tom ;positive;positive
El desempeño del profesor es perfecto y se adapta al grupo.; desempeñ    perfect   adapt ;positive;positive
BUEN PROFESOR EXPRESA MUY BIEN SUS CONOCIMIENTOS;buen  expres  bien ;positive;positive
TODAS LAS CLASES SON MUY BUENAS, EN CUANTO A ENSEÑANZA E INTERACCIÓN;tod     buen    enseñ  interaccion;positive;positive
Permite cada día mejorar gracias a sus explicaciones.;permit  dia mejor graci   explic;positive;positive
TE DA SEGURIDAD DEL APRENDIZAJE YA QUE CONOCE DEL TEMA.; da segur     conoc ;positive;positive
El profesor es muy bueno en su campo y sabe tratar a sus alumnos.;    buen   camp   trat  ;positive;positive
su clase me resulta fascinante en mi opinion me agrada la manera de impartir la clase.;   result fascin   opinion  agrad  maner  impart ;positive;positive
Buen maestro, se lleva una clase cómoda sin estrés con él.;buen   llev   comod  estres ;positive;positive
La forma de evaluar esta muy bien para mi.; form  evalu   bien ;positive;positive
Excelente maestra, es amable y accesible.;excelent   amabl  acces;positive;positive
El profesor es muy buen maestro, nos imparte sus conocimientos adecuadamente.;    buen  nos impart   adecu;positive;positive
Creo que la profesora es una maestra muy agradable y logra un interés en la clase.;cre        agrad  logr  interes  ;positive;positive
Indudablemente es un tema que a ella le apasiona y me agrada que tenga una idea de lo que esta hablando.;indud        apasion   agrad  teng  ide     habl;positive;positive
Me agrada la actitud hacia sus alumnos, permite sentirse en confianza.; agrad  actitud    permit sent  confianz;positive;positive
La maestra me motiva y con ella he desarrollado aptitudes interesantes.;   motiv     desarroll aptitud interes;positive;positive
Son clases muy divertidas e interesantes además el profesor es muy respetuoso.;   divert  interes      respetu;positive;positive
El tiempo de clase se pasa muy rápido ya que los temas son interesantes.;     pas  rap      interes;positive;positive
Tiene mucha experiencia y puedo aprender mucho de el.;tien     aprend  ;positive;positive
Es una persona muy capaz y hábil para enseñar.;    capaz  habil  enseñ;positive;positive
El profesor logra motivar con su actitud a sus los alumnos.;  logr motiv   actitud   ;positive;positive
ME ENCANTAN LAS CLASES ES MUY POSITIVA Y CON BUENA ACTITUD.; encant     posit   buen actitud;positive;positive
El profesor imparte de forma correcta la disciplina y permite el tabajo en equipo.;  impart  form correct  disciplin  permit  tabaj  equip;positive;positive
Es un maestro que fomenta el respeto y siempre esta dispuesto a trabajar.;    foment  respet  siempr  dispuest  trabaj;positive;positive
El profesor fomenta el respeto en todas sus clases.;  foment  respet  tod ;positive;positive
Buen dominio y control total de la materia.;buen domini  control   ;positive;positive
El profesor es respetuoso y atento con el grupo.;   respetu  atent  ;positive;positive
Es un buen maestro no es monótono y eso es agradable.;  buen  no  monoton    agrad;positive;negative
Esta clase me provoca ser participativo.;   provoc  particip;positive;positive
Es un excelente maestro, uno de los mejores que he tenido.;  excelent     mejor   ten;positive;positive
Excelente profesor, sin duda uno de los mejores con los que cuenta esta institución;excelent       mejor      institu;positive;positive
muy buen maestro, sabe dar clases y aporta cada uno de sus conocimientos a los alumnos .; buen   dar   aport        ;positive;positive
Demuestra el dominio en cada uno de los temas y hace muy didáctica su clase.;demuestr  domini        hac  didact ;positive;positive
una gran persona que siempre expone de manera clara sus clases .;    siempr expon  maner clar  ;positive;positive
el maestro sin duda tiene un dominio de la clase.;    tien  domini  ;positive;positive
Es muy buen maestro y sus clases son claras y participativas.;  buen      clar  particip;positive;positive
Muy buen profesor, domina sus temas y aclara dudas de aplicaciones industriales.; buen  domin    aclar   aplic industrial;positive;positive
Sus clases son interactivas y aprendo mucho con su forma de enseñar.;   interact  aprend    form  enseñ;positive;positive
El profesor da ejemplos prácticos donde podemos observar la teoría que nos enseña.;   buen da  practic   observ  teor  nos enseñ;positive;positive
es un exelente profesor que preocupa por nuestro aprendizaje.;  exelent   preocup  nuestr;positive;positive
Excelente docente, domina los temas y una clase muy entretenida;excelent  domin       entreten;positive;positive
es un profesor muy bueno para exponer temas teóricos y lo práctico;    buen  expon  teoric   practic;positive;positive
Fomenta la autocrítica y el buen desempeño.;foment  autocrit   buen desempeñ;positive;positive
El profesor nos ayuda con atención y dedicación a cada uno de sus alumnos.;  nos ayud  atencion  dedic     ;positive;positive
es buen profesor y respeta el calendario de la materia.; buen   respet  calendari  ;positive;positive
Le gusta enseñar las clases con pasión y alegría.; gust enseñ    pasion  alegr;positive;positive
considero que el maestro evalúa de forma correcta e imparcial.;consider    evalu  form correct  imparcial;positive;positive
El profesor ha tomado en cuenta nuestras opiniones y nos hace reforzar nuestras habilidades.;   tom   nuestr opinion  nos hac reforz nuestr habil;positive;positive
Logra transmitir su conocimiento a los alumnos de una manera eficiente.;logr transmit        maner eficient;positive;positive
Explica los temas de una manera fácil y practica de entender.;explic     maner facil    entend;positive;positive
El maestro es muy bueno al impartir la clase, es de los pocos maestros que traen preparada la clase.;    buen  impart         tra prepar ;positive;positive
Excelente maestro, muy serio y centrado.;excelent   seri  centr;positive;positive
Un profesor excelente y bien preparado, se ve que sabe mucho pero a parte de eso sabe enseñar.;  excelent  bien prepar  ve    per  part    enseñ;positive;positive
Me gusta su manera de exigirnos responsabilidad.; gust  maner  exig respons;positive;positive
La retroalimentación siempre es parte de la clase del maestro, eso es muy bueno.; retroaliment siempr  part         buen;positive;positive
Clases bastante completas, siempre informa acerca de todos los instrumentos de evaluación.;  complet siempr inform acerc      evalu;positive;positive
A la maestra hay que felicitarla por su esfuerzo y empeño por que aprendamos.;   hay  felicit   esfuerz  empeñ   aprend;positive;positive
Sus conocimientos son destacables, conoce perfectamente su materia.;   destac conoc perfect ;positive;positive
Es un profesor que fomenta el dinamismo para demostrar el aprendizaje.;    foment  dinam  demostr ;positive;positive
El profesor cuenta con criterio y conocimiento del tema, es capaz de aclarar todas las dudas.;    criteri      capaz  aclar tod ;positive;positive
Invierte mucho empeño en transmitir sus conocimientos y además resuelve dudas de una manera respetuosa.;inviert  empeñ  transmit     resuelv    maner respetu;positive;positive
Un profesor que en verdad vale la pena dentro de la universidad.;    verd val  pen    univers;positive;neutral
Un gran maestro, he logrado un mayor desarrollo en mi vida profesional.;    logr   desarroll   vid profesional;positive;positive
Es un profesor muy responsable y demasiado amable.;    respons   amabl;positive;neutral
Un profesor sobresaliente en su trabajo.;  sobresalient  ;positive;positive
Tiene buena disposicion para las explicaciones.;tien buen disposicion   explic;positive;positive
la profesora demuestra determinación en sus explicaciones y su desempeño es excelente.;  demuestr determin   explic   desempeñ  excelent;positive;positive
Es un maestro malisimo y no se da a entender no sabe dar clase y en su clase no se aprende mucho;   malisim  no  da  entend no  dar      no  aprend;negative;negative
considero que el profesor no sabe dar clases y es muy fastidioso.;consider    no  dar     fastidi;negative;negative
No controla sus nervios durante la clase.;no control  nervi durant ;negative;negative
Le falta ser mas tolerante con la entrada a su clase a la primera hora; falt   toler         primer;negative;neutral
En ocasiones no entiendo algunos términos hace falta darnos retroalimentación.; ocasion no entiend  termin hac falt darn retroaliment;negative;negative
su método de enseñanza es antiguo necesita renovarse; metod  enseñ  antigu necesit renov;negative;negative
Hay veces en las que muestra una actitud de enojo y nos insulta.;hay vec    muestr  actitud  enoj  nos insult;negative;negative
Es incumplido en asistir a las clases y en su horario.; incumpl  asist      ;negative;positive
No avanza de una manera adecuada con el cronograma y eso es tedioso.;no avanz   maner adecu       tedios;negative;negative
El profesor es algo irrespetuoso en ciertas ocasiones.;    irrespetu  ciert ocasion;negative;negative
Algunas veces no sabe explicar las cosas que nos desea transmitir.; vec no  explic    nos dese transmit;negative;positive
Se molesta cuando se le pide que explique algo importante de la clase.; molest    pid  expliqu  import  ;negative;negative
El maestro se exalta cuando recibe una opinión sobre su clase.;   exalt  recib  opinion  ;negative;neutral
es prácticamente una persona incompetente para impartir clases.; practic   incompetent  impart;negative;positive
Pésima maestra que no sabe escuchar a sus alumnos.;pesim   no  escuch  ;negative;negative
No respeta el reglamento ni a ningún alumno.;no respet  reglament ni  ningun;negative;neutral
Nunca nos ha impartido una clase completa.;nunc nos  impart   complet;negative;positive
no tiene la capacidad de controlar al grupo completo.;no tien  capac  control   complet;negative;positive
Necesita tener mayor control con el grupo por medio de la asignacion de actividades.;necesit   control        asignacion ;negative;negative
Es buena maestra. Sólo le falta aclarar las dudas mejor; buen    falt aclar   mejor;negative;positive
en ocasiones se expresa mal hacia los alumnos.; ocasion  expres mal  ;negative;negative
Pierde el tiempo de la clase dando pláticas sobre su vida.;pierd      dand platic   vid;negative;negative
falta de compromiso con los estudiantes ya que no les interesa la clase.;falt  compromis   estudi   no les interes ;negative;positive
falta de dinamismo en clase.;falt  dinam ;negative;negative
clase aburrida necesita dar materiar didáctico y utilizar todas las herramientas que la universidad le facilita; aburr necesit dar materi didact  utiliz tod  herramient   univers  facilit;negative;negative
Tiene el conocimiento sin embargo no lo expresa de manera clara;tien    embarg no  expres  maner clar;negative;positive
No evalúa nuestras tareas por eso no sabemos si comprendemos los temas.;no evalu nuestr tar   no  si comprend ;negative;positive
No conoce los temas que imparte no estamos aprendiendo.;no conoc    impart no  aprend;negative;positive
no sabe resolver las dudas ni se siente que tenga un dominio total de los temas.;no  resolv   ni  sient  teng  domini   ;negative;negative
Uno de los peores profesores de la universidad.;   peor    univers;negative;negative
su pedagogía es muy pobre y no tiene experiencia.; pedagog   pobr  no tien;negative;negative
El profesor debería de tener mayor disponibilidad para alumnos.;  deb    disponibil ;negative;negative
Ayudaría mucho si prestara mas atención a las dudas de los alumnos.;ayud  si prest  atencion     ;negative;positive
El profesor puede llegar a ser muy rígido y engreído.;   lleg    rig  engreid;negative;negative
Buen profesor realizamos muchas dinámicas de aprendizaje en esta clase participamos mucho.;buen  realiz  dinam      particip;positive;positive
Muy buen profesor siempre nos hace participar y nos ayuda cuando no sabemos algo en esta clase.; buen  siempr nos hac particip  nos ayud  no    ;positive;positive
clase muy activa gracias a que explica de manera clara y se participa mucho;  activ graci   explic  maner clar   particip;positive;positive
Clase dinámica todo lo que quiero es participar ya que aprendo mucho mas;     quier  particip   aprend ;positive;positive
muy bueno se asegura que los estudiantes entendamos con ayuda de las prácticas en base a una buena teoría.; buen  asegur   estudi entend  ayud   practic  bas   buen teor;positive;positive
Excelente profesor siempre fomenta la participación en clase.;excelent  siempr foment  particip ;positive;positive
Es un profesor respetuoso y atento con todos los alumnos.;   respetu  atent   ;positive;positive
Es un muy buen maestro no es monótono y pues es muy agradable su clase.;   buen    agrad ;positive;positive
Muy buen maestro ayuda al entendimiento de sus clases y da retroalimentación de los temas; buen  ayud  entend     da retroaliment  ;positive;positive
Fomenta mucho la participación de los alumnos y se asugura que aprendamos los temas asignados;foment   particip      asegur  aprend   asign;positive;positive
Excelente profesor, sin duda uno de los mejores con los que cuenta esta institución;excelent       mejor      institu;positive;positive
muy buen maestro sabe dar clases y aporta cada uno de sus conocimientos a los alumnos; buen   dar   aport    susconoc  ;positive;positive
la clase es muy completa se interesa por el aprendidaje de los alumnos;    complet  interes   aprendidaj  ;positive;positive
Muy buen profesor explica de manera clara y respeta horarios de clase; buen  explic  maner clar  respet  ;positive;positive
Un buen maestro sin duda alguna tiene un dominio de la clase y del conocimiento del tema.; buen     tien  domini       ;positive;positive
El profesor es responsable sigue la planeación de la clase y respeta a los alumnos;   respons sig  planeacion     respet  ;positive;neutral
Es muy buen maestro y sus clases son claras y de una manera participativa;  buen      clar    maner particip;positive;positive
Exelente profesor ya que aplica bien la teoría en la práctica y nos ayuda a comprender los temas de manera clara;exelent    aplic bien  teor   practic  nos ayud  comprend    maner clar;positive;positive
Muy buen profesor domina sus temas y aclara dudas de aplicaciones industriales.; buen  domin    aclar   aplic industrial;positive;positive
Excelente maestro. Muy interactivas sus clases y aprendo mucho con su forma de enseñar.;excelent   interact    aprend    form  enseñ;positive;positive
Muy buen profesor ya que ayuda a los alumnos si no entienden y brinda asesorias; buen    ayud    si no entiend  brind asesori;positive;positive
La clase es muy amena por las participaciones de todos.;    amen   particip ;positive;positive
Es un excelente profesor mantiene atentos a todos los alumnos;  excelent  mantien atent   ;positive;positive
Fomentar mas el aprendizaje de los problemas teóricos.;foment       teoric;positive;positive
buen maestro fomenta la participación de los alumnos y el respeto;buen  foment  particip      respet;positive;positive
es un profesor muy bueno para exponer temas teóricos y te enseña muy bien en lo práctico;    buen  expon  teoric   enseñ  bien   practic;positive;positive
Muy buen profesor permite opinar a los alumnos para el aprendizaje colaborativo; buen  permit opin       colabor;positive;positive
muy buen profesor explica bien la teória y ayuda mucho en la práctica; buen  explic bien  teori  ayud    practic;positive;positive
buen maestro colabora al aprendizaje uniforme con asesorías;buen  colabor   uniform  asesor;positive;positive
es un buen profesor y muy estricto eso es muy bueno;  buen    estrict    buen;positive;negative
nos fomenta el interés por opinar en clase;nos foment  interes  opin ;positive;positive
es atento y dedicado con los alumnos; atent  dedic  ;positive;positive
demuestra interés en el aprendizaje de los alumnos;demuestr interes     ;positive;positive
es un buen maestro respeta las reglas de la universidad;  buen  respet  regl   univers;positive;positive
muy buen profesor desarrolla bien sus actividades; buen  desarroll bien ;positive;positive
exelente profesor demuestra el interes por el aprendizaje de los alumnos;exelent  demuestr  inter     ;positive;positive
ES MUY EXIGENTE PERO DE BUENA MANERA;  exigent per  buen maner;positive;negative
Excelente maestra he aprendido mejor los temas que con la maestra anterior que nos dio un año seguido.;excelent   aprend mejor       anterior  nos dio  año segu;positive;positive
Es excelente maestra y hace las clases muy dinámicas; excelent   hac    dinam;positive;positive
Muy buena maestra aparte de cuenta con los conocimientos considero que evalúa de forma correcta e imparcial; buen  apart    losconoc consider  evalu  form correct  imparcial;positive;positive
Es excelente, toma en cuenta nuestras opiniones; excelent tom   nuestr opinion;positive;positive
Es una maestra con mucha paciencia para dar explicaciones.;     pacienci  dar explic;positive;positive
Excelente maestra ojala que nos vuelva a dar clases;excelent  ojal  nos vuelv  dar;positive;positive
Excelente maestro muy bien preparado y sobre todo respetuoso;excelent   bien prepar    respetu;positive;positive
Es un buen profesor te ayuda mucho cuando tienes un problema o una duda;  buen   ayud   tien  problem o ;positive;positive
buen profesor ya que relaciona la teória con la práctica y problemas reales.;buen    relacion  teori   practic   real;positive;positive
Buen profesor es muy responsable pero es algo imparcial;buen    respons per   imparcial;positive;negative
Excelente profesor los temas los explica de una manera fácil y práctica de entender.;excelent     explic   maner facil  practic  entend;positive;positive
Excelente maestro muy serio y centrado;excelent   seri  centr;positive;positive
Vale la realmente la pena tener a este tipo de profesores.;val  realment  pen    tip ;positive;negative
Simplemente es un profesor extremadamente responsable e inteligente.;simplement    extrem respons  inteligent;positive;negative
Es un buen profesor lo cual permite el aprendizaje uniforme entre los compañeros;  buen    permit   uniform  ;positive;positive
Clases bastante completas siempre proporciona la información necesaria.;  complet siempr proporcion  inform necesari;positive;positive
Imparte siempre que necesitamos asesorías de buena manera.;impart siempr  necesit asesor  buen maner;positive;positive
explica muy bien los temas y muestra disposición;explic  bien    muestr disposicion;positive;positive
Siempre se esfuerza por que todos aprendamos.;siempr  esfuerz    aprend;positive;positive
No entiendo por que da clases aqui deberia dar clases a expertos;no entiend   da  aqui deberi dar   expert;positive;negative
mi favorita ya que respeta y ayuda a los alumnos en lo que necesitan; favorit   respet  ayud       necesit;positive;positive
Sus conocimientos son destacables conoce perfectamente su materia y resuelve nuestras dudas con ejemplos de la vida cotidiana.;susconoc  destac conoc perfect    resuelv nuestr      vid cotidian;positive;positive
Respeta todas las reglas de la universidad y es organizada.;respet tod  regl   univers   organiz;positive;positive
desarrolla los temas de manera dinámica lo que nos permite aprender fácilmente;desarroll    maner    nos permit aprend facil;positive;positive
Es simplemente una maestra excepcional que vale la pena reconocer.; simplement   excepcional  val  pen reconoc;positive;positive
Para este profesor completamente mis respetos.;   complet  respet;positive;positive
Se percibe como una materia meramente presencial o pérdida de tiempo.; percib    mer presencial o perd ;positive;negative
El profesor cuenta con criterio y conocimiento propio que nos proporciona.;    criteri   propi  nos proporcion;positive;positive
el profesor sabe transmitir su conocimiento con éxito;   transmit    exit;positive;positive
Sin duda tiene la habilidad de dar clases de manera clara.;  tien  habil  dar   maner clar;positive;positive
Aclara las dudas de una manera clara y con respeto sin reirse de los alumnos.;aclar     maner clar   respet  reirs  ;positive;positive
