termino,fs,polaridad,Observación,
asqueroso,strongsubj,negative,,
astuto,strongsubj,positive,,
atento,strongsubj,positive,,
atormentar,weaksubj,negative,,
atractivo,strongsubj,positive,,
atrasar,strongsubj,negative,,
atrevido,weaksubj,negative,,
aturdir,weaksubj,negative,,
audaz,strongsubj,positive,,
ausente,strongsubj,negative,,
autoritario,weaksubj,negative,,
autosuficiente,weaksubj,positive,,
avanzado,strongsubj,positive,,
avergonzar,strongsubj,negative,,
ayudar,strongsubj,positive,,
baboso,strongsubj,negative,,
bárbaro,weaksubj,negative,,
bastardo,strongsubj,negative,,
basura,strongsubj,negative,,
beneficio,strongsubj,positive,,
berrinche,strongsubj,negative,,
bromear,strongsubj,negative,,
bien,strongsubj,positive,,
bienestar,strongsubj,positive,,
bipolar,strongsubj,negative,,
blasfemia,strongsubj,negative,,
bobo,strongsubj,negative,,
bondadoso,strongsubj,positive,,
bonito,strongsubj,positive,,
borracho,strongsubj,negative,,
bostezo,strongsubj,negative,,
brillante,strongsubj,positive,,
brinda,strongsubj,positive,,
broma,strongsubj,negative,,
brusco,strongsubj,negative,,
brutal,strongsubj,negative,,
bueno,strongsubj,positive,,
burla,strongsubj,negative,,
caballeroso,strongsubj,positive,,
calamidad,strongsubj,negative,,
calidad,strongsubj,positive,,
calificado,strongsubj,positive,,
calma,weaksubj,positive,,
calumnia,strongsubj,negative,,
camaradas,weaksubj,positive,,
campeón,strongsubj,positive,,
canalla,strongsubj,negative,,
cansado,strongsubj,negative,,
caos,strongsubj,negative,,
caótico,strongsubj,negative,,
capacidad,weaksubj,positive,,
capaz,weaksubj,positive,,
caprichoso,strongsubj,negative,,
carente,strongsubj,negative,,
carga,weaksubj,negative,,
cariñoso,weaksubj,positive,,
carisma,strongsubj,positive,,
castigo,strongsubj,negative,,
catástrofe,strongsubj,negative,,
cautela,weaksubj,negative,,
cautivar,strongsubj,positive,,
ceder,weaksubj,positive,,
censura,strongsubj,negative,,
centrado,strongsubj,positive,,
chantaje,strongsubj,negative,,
chiflado,strongsubj,negative,,
chismoso,strongsubj,negative,,
chocante,strongsubj,negative,,
cínico,strongsubj,negative,,
claridad,strongsubj,positive,,
claro,strongsubj,positive,,
cobarde,strongsubj,negative,,
coherente,strongsubj,positive,,
cómico,weaksubj,negative,,
cómodo,weaksubj,positive,,
compadecerse,strongsubj,positive,,
compasión,strongsubj,positive,,
compensar,weaksubj,positive,,
competente,strongsubj,positive,,
competitivo,strongsubj,positive,,
complacer,strongsubj,negative,,
complejo,weaksubj,negative,,
complemento,weaksubj,positive,,
complicar,weaksubj,negative,,
comprender,strongsubj,positive,,
compromiso,weaksubj,positive,,
conciliar,strongsubj,positive,,
conciso,strongsubj,positive,,
condenable,strongsubj,negative,,
conferencia,weaksubj,positive,,
confesar,weaksubj,positive,,
confianza,strongsubj,positive,,
confiar,strongsubj,positive,,
confidente,strongsubj,positive,,
configurar,weaksubj,positive,,
conflicto,strongsubj,negative,,
confrontar,strongsubj,negative,,
confundir,strongsubj,negative,,
confusión,strongsubj,negative,,
conmoción,strongsubj,negative,,
conmovedor,strongsubj,positive,,
conoce,strongsubj,positive,,
conquistar,weaksubj,positive,,
consciente,strongsubj,positive,,
consentimiento,strongsubj,positive,,
consideración,strongsubj,positive,,
consistente,weaksubj,positive,,
conspiración,strongsubj,negative,,
constante,strongsubj,positive,,
consternación,strongsubj,negative,,
constructivo,weaksubj,positive,,
consuelo,strongsubj,positive,,
consumir,weaksubj,negative,,
contagioso,weaksubj,negative,,
contaminar,strongsubj,negative,,
contar,strongsubj,positive,,
contenido,weaksubj,positive,,
contento,strongsubj,positive,,
continuidad,weaksubj,positive,,
contra,weaksubj,negative,,
contradecir,strongsubj,negative,,
contraproducente,strongsubj,negative,,
contrario,strongsubj,negative,,
contribucion,strongsubj,positive,,
controlar,weaksubj,positive,,
controversia,weaksubj,negative,,
convencer,weaksubj,positive,,
conveniente,weaksubj,positive,,
convenir,weaksubj,positive,,
conviccion,strongsubj,positive,,
convincente,weaksubj,positive,,
cooperar,weaksubj,positive,,
copia,strongsubj,negative,,
coquetear,strongsubj,negative,,
cordial,weaksubj,positive,,
cordura,strongsubj,positive,,
correcto,strongsubj,positive,,
corregir,strongsubj,positive,,
corromper,strongsubj,negative,,
corrupción,strongsubj,negative,,
corrupto,strongsubj,negative,,
cortar,weaksubj,negative,,
cortejar,strongsubj,negative,,
cortés,strongsubj,positive,,
costoso,weaksubj,negative,,
cotidiano,weaksubj,positive,,
creativo,strongsubj,positive,,
creciente,weaksubj,positive,,
crédulo,strongsubj,negative,,
creencia,weaksubj,positive,,
creíble,weaksubj,positive,,
creer,weaksubj,positive,,
crisis,strongsubj,negative,,
debería,strongsubj,negative,,
critica,strongsubj,negative,,
crónico,weaksubj,negative,,
cruel,strongsubj,negative,,
cuestionable,strongsubj,negative,,
cuidado,weaksubj,positive,,
culpa,strongsubj,negative,,
cumple,strongsubj,positive,,
curioso,weaksubj,positive,,
cursi,strongsubj,negative,,
daño,strongsubj,negative,,
débil,strongsubj,negative,,
debe,strongsubj,negative,,
decaído,strongsubj,negative,,
decente,weaksubj,positive,,
decepción,strongsubj,negative,,
decisión,weaksubj,positive,,
declinar,weaksubj,negative,,
decrecer,weaksubj,negative,,
decrépito,strongsubj,negative,,
dedica,strongsubj,positive,,
defecto,strongsubj,negative,,
defender,strongsubj,positive,,
deficiencia,strongsubj,negative,,
definido,weaksubj,positive,,
definitivo,weaksubj,positive,,
deformar,weaksubj,negative,,
defraudación,strongsubj,negative,,
degeneración,strongsubj,negative,,
degradar,strongsubj,negative,,
dejar,weaksubj,negative,,
satisfacción,strongsubj,positive,,
deleite,strongsubj,positive,,
delicado,weaksubj,negative,,
delincuente,strongsubj,negative,,
delirio,strongsubj,negative,,
delito,strongsubj,negative,,
demacrado,strongsubj,negative,,
demente,strongsubj,negative,,
demoníaco,strongsubj,negative,,
demuestra,strongsubj,positive,,
denigrar,strongsubj,negative,,
deplorar,strongsubj,negative,,
depravado,strongsubj,negative,,
deprimido,strongsubj,negative,,
derecho,weaksubj,positive,,
desacreditar,strongsubj,negative,,
desacuerdo,strongsubj,negative,,
desafecto,strongsubj,negative,,
desafiar,strongsubj,negative,,
desafortunado,strongsubj,negative,,
desagradar,strongsubj,negative,,
desahogarse,weaksubj,negative,,
desaire,strongsubj,negative,,
desalentar,strongsubj,negative,,
desalmado,strongsubj,negative,,
desamparar,strongsubj,negative,,
desanimado,strongsubj,negative,,
desánimo,strongsubj,negative,,
desaparecer,weaksubj,negative,,
desaprobar,strongsubj,negative,,
desarmar,weaksubj,negative,,
desarrolla,strongsubj,positive,,
desastre,strongsubj,negative,,
desatinado,strongsubj,negative,,
desautorizar,strongsubj,negative,,
descabellado,strongsubj,negative,,
descanso,weaksubj,negative,,
descarado,strongsubj,negative,,
descomponer,weaksubj,negative,,
desconcertar,weaksubj,negative,,
desconfianza,strongsubj,negative,,
desconoce,strongsubj,negative,,
desconsiderado,strongsubj,negative,,
desconsolado,strongsubj,negative,,
desconsuelo,strongsubj,negative,,
descontento,strongsubj,negative,,
descorazonar,strongsubj,negative,,
descortés,strongsubj,negative,,
descuido,strongsubj,negative,,
desdeñar,strongsubj,negative,,
altanero,strongsubj,negative,,
desear,strongsubj,positive,,
desempeño,strongsubj,positive,,
desenfoque,weaksubj,negative,,
desenmarañar,weaksubj,positive,,
deseo,weaksubj,positive,,
deserción,strongsubj,negative,,
desesperación,strongsubj,negative,,
desestabilización,strongsubj,negative,,
desfachatez,strongsubj,negative,,
desfallecer,strongsubj,negative,,
desfavorecer,strongsubj,negative,,
desgastar,weaksubj,negative,,
desgraciado,strongsubj,negative,,
deshacer,weaksubj,negative,,
deshecho,weaksubj,negative,,
deshizo,weaksubj,negative,,
deshonesto,strongsubj,negative,,
deshonrado,strongsubj,negative,,
deshumanizar,strongsubj,negative,,
desigual,strongsubj,negative,,
desilusión,strongsubj,negative,,
desinformado,strongsubj,negative,,
desintegración,weaksubj,negative,,
desinterés,strongsubj,negative,,
desleal,strongsubj,negative,,
deslumbrante,strongsubj,positive,,
desliz,weaksubj,negative,,
deslumbrar,strongsubj,positive,,
desmayo,weaksubj,negative,,
desmentir,strongsubj,negative,,
desmoronarse,strongsubj,negative,,
desmotiva,strongsubj,negative,,
desobedecer,strongsubj,negative,,
desolación,strongsubj,negative,,
desorden,strongsubj,negative,,
desorganización,strongsubj,negative,,
desorientar,strongsubj,negative,,
despacio,weaksubj,negative,,
despectivo,strongsubj,negative,,
desperdicio,strongsubj,negative,,
desperfecto,weaksubj,negative,,
despertar,weaksubj,positive,,
despiadado,strongsubj,negative,,
despilfarro,strongsubj,negative,,
desplazar,weaksubj,negative,,
despojar,strongsubj,negative,,
déspota,strongsubj,negative,,
despotricar,strongsubj,negative,,
despreciar,strongsubj,negative,,
despreocupación,weaksubj,negative,,
desprevenido,weaksubj,negative,,
desproporcionado,weaksubj,negative,,
desprovisto,strongsubj,negative,,
destacable,strongsubj,positive,,
destartalado,strongsubj,negative,,
destellar,weaksubj,positive,,
destinar,weaksubj,positive,,
destreza,strongsubj,positive,,
destructivo,strongsubj,negative,,
destruir,strongsubj,negative,,
desunión,strongsubj,negative,,
desvalido,strongsubj,positive,,
desvanecimiento,weaksubj,negative,,
desvarío,strongsubj,negative,,
desventaja,strongsubj,negative,,
desvergonzado,strongsubj,negative,,
desvergüenza,strongsubj,negative,,
desviar,strongsubj,negative,,
deterioro,strongsubj,negative,,
determinación,strongsubj,positive,,
detestar,strongsubj,negative,,
devastar,strongsubj,negative,,
devoción,weaksubj,positive,,
diablo,strongsubj,negative,,
diablura,strongsubj,negative,,
diabólico,strongsubj,negative,,
dichoso,strongsubj,positive,,
dictador,strongsubj,negative,,
didáctica,strongsubj,positive,,
difamar,strongsubj,negative,,
dif­ícil,strongsubj,negative,,
diferente,weaksubj,positive,,
diferir,weaksubj,negative,,
dificultad,strongsubj,negative,,
dignidad,strongsubj,positive,,
dignificar,strongsubj,positive,,
digno,strongsubj,positive,,
dilema,weaksubj,negative,,
diligencia,weaksubj,positive,,
diminuto,weaksubj,negative,,
dinámico,strongsubj,positive,,
diplomático,weaksubj,positive,,
discapacitado,weaksubj,negative,,
disciplina,strongsubj,positive,,
discordia,strongsubj,negative,,
discreción,strongsubj,positive,,
discreto,strongsubj,positive,,
discriminar,strongsubj,negative,,
discutir,weaksubj,negative,,
disfrutar,strongsubj,positive,,
disgustar,strongsubj,negative,,
disimular,weaksubj,negative,,
disminuir,weaksubj,negative,,
disparate,strongsubj,negative,,
disponbilidad,strongsubj,positive,,
disposición,strongsubj,positive,,
dispuesto,strongsubj,positive,,
disputa,strongsubj,negative,,
distanciado,strongsubj,negative,,
distinción,strongsubj,positive,,
distinguir,weaksubj,positive,,
distinto,weaksubj,positive,,
distorsión,strongsubj,negative,,
distracción,strongsubj,negative,,
distraer,strongsubj,negative,,
distraído,strongsubj,negative,,
disturbio,strongsubj,negative,,
disuadir,strongsubj,negative,,
divagar,strongsubj,negative,,
diversificado,weaksubj,positive,,
diversión,strongsubj,positive,,
divertir,strongsubj,positive,,
dividir,weaksubj,negative,,
divino,strongsubj,positive,,
divisible,weaksubj,negative,,
división,weaksubj,negative,,
divorciado,weaksubj,negative,,
doblado,weaksubj,negative,,
dócil,strongsubj,positive,,
doler,strongsubj,negative,,
dolor,strongsubj,negative,,
dominar,strongsubj,positive,,
dominio,strongsubj,positive,,
drama,strongsubj,negative,,
drástico,weaksubj,negative,,
adecuado,weaksubj,positive,,
droga,strongsubj,negative,,
duda,strongsubj,negative,,
duelo,strongsubj,negative,,
dulce,weaksubj,positive,,
dulzura,weaksubj,positive,,
durable,weaksubj,positive,,
duradero,weaksubj,positive,,
educado,strongsubj,positive,,
atrasado,strongsubj,negative,,
efectivo,strongsubj,positive,,
eficacia,strongsubj,positive,,
eficaz,strongsubj,positive,,
eficiente,strongsubj,positive,,
atrasado,strongsubj,negative,,
efusivo,strongsubj,positive,,
ego,strongsubj,negative,,
egocéntrico,strongsubj,negative,,
egoísta,strongsubj,negative,,
ególatra,strongsubj,negative,,
ejemplar,strongsubj,positive,,
ejemplificar,strongsubj,positive,,
elegancia,strongsubj,positive,,
elegante,strongsubj,positive,,
elegible,weaksubj,positive,,
elevar,weaksubj,positive,,
eliminar,weaksubj,negative,,
elitista,strongsubj,negative,,
elocuencia,strongsubj,positive,,
elogiar,strongsubj,positive,,
eludir,strongsubj,negative,,
embarazoso,weaksubj,negative,,
embellecer,strongsubj,positive,,
embrollo,strongsubj,negative,,
embrutecer,strongsubj,negative,,
embustero,strongsubj,negative,,
eminencia,strongsubj,positive,,
emoción,weaksubj,positive,,
empalagoso,weaksubj,negative,,
empatía,strongsubj,positive,,
empático,strongsubj,positive,,
empeño,strongsubj,positive,,
empeorar,strongsubj,negative,,
empequeñecer,strongsubj,negative,,
emprendedor,strongsubj,positive,,
enano,strongsubj,negative,,
encantar,strongsubj,positive,,
encojerse,strongsubj,negative,,
endulzar,weaksubj,positive,,
enemigo,strongsubj,negative,,
enemistad,strongsubj,negative,,
enérgico,strongsubj,positive,,
energizar,strongsubj,positive,,
enervante,strongsubj,negative,,
enfado,strongsubj,negative,,
enfático,weaksubj,positive,,
enfermar,weaksubj,negative,,
enfermedad,weaksubj,negative,,
enfermizo,weaksubj,negative,,
enfermo,weaksubj,negative,,
enfurecer,strongsubj,negative,,
engañar,strongsubj,negative,,
engatusar,strongsubj,negative,,
engreído,strongsubj,negative,,engreído
enloquecer,strongsubj,negative,,enloquecer
enojo,strongsubj,negative,,enojo
enriquecer,strongsubj,positive,,enriquecer
enseña,strongsubj,positive,,enseña
entender,strongsubj,positive,,entender
entrega,weaksubj,positive,,entrega
entretener,weaksubj,positive,,entretener
entrometido,strongsubj,negative,,entrometido
entusiasta,strongsubj,positive,,entusiasta
envidia,strongsubj,negative,,envidia
equitativo,strongsubj,positive,,equitativo
equivoca,strongsubj,negative,,equivoca
errar,strongsubj,negative,,errar
error,strongsubj,negative,,error
escandalizar,strongsubj,negative,,escandalizar
escaso,weaksubj,negative,,escaso
esclavizar,strongsubj,negative,,esclavizar
escoria,strongsubj,negative,,escoria
escrúpulos,strongsubj,positive,,escrúpulos
esencial,weaksubj,positive,,esencial
esfuerza,strongsubj,positive,,esfuerza
esmerado,strongsubj,positive,,esmerado
espantar,strongsubj,negative,,espantar
especial,strongsubj,positive,,especial
espectacular,strongsubj,positive,,espectacular
espléndido,strongsubj,positive,,espléndido
esporádico,weaksubj,negative,,esporádico
estable,strongsubj,positive,,estable
estafar,strongsubj,negative,,estafar
estancarse,strongsubj,negative,,estancarse
estar,weaksubj,positive,,estar
acechar,strongsubj,negative,,acechar
estático,weaksubj,negative,,estático
estereotipo,weaksubj,negative,,estereotipo
estimular,strongsubj,positive,,estimular
estrés,strongsubj,negative,,estrés
estricto,weaksubj,negative,,estricto
estropear,strongsubj,negative,,estropear
estudio,strongsubj,positive,,estudio
estupendo,strongsubj,positive,,estupendo
estupidez,strongsubj,negative,,estupidez
eternidad,weaksubj,negative,,eternidad
ético,strongsubj,positive,,ético
agotador,strongsubj,negative,,agotadoras
evadir,strongsubj,negative,,evadir
evasivo,strongsubj,negative,,evasivo
evidente,weaksubj,positive,,evidente
evitar,weaksubj,positive,,evitar
exagerar,strongsubj,negative,,exagerar
exaltar,strongsubj,negative,,exaltar
exceder,strongsubj,negative,,exceder
excelente,strongsubj,positive,,excelente
excéntrico,weaksubj,negative,,excéntrico
excepcional,strongsubj,positive,,excepcional
excesivo,strongsubj,negative,,excesivo
excluir,strongsubj,negative,,excluir
excusa,strongsubj,negative,,excusa
exhaustivo,weaksubj,positive,,exhaustivo
exige,strongsubj,positive,,exige
éxito,strongsubj,positive,,exitosamente
exorbitante,weaksubj,positive,,exorbitante
experto,strongsubj,positive,,experto
explícito,weaksubj,positive,,explícito
práctico,weaksubj,positive,,práctico
explotar,weaksubj,negative,,explotar
expresivo,weaksubj,positive,,expresivo
expuesto,weaksubj,negative,,expuesto
expulsar,weaksubj,negative,,expulsar
extendido,weaksubj,negative,,extendido
extorsionar,strongsubj,negative,,extorsionar
extraño,weaksubj,negative,,extraño
extraordinario,strongsubj,positive,,extraordinario
extravagante,strongsubj,negative,,extravagante
extravío,strongsubj,negative,,extravío
extremo,weaksubj,negative,,extremo
extrovertida,weaksubj,positive,,extrovertida
exuberante,strongsubj,positive,,exuberante
fabuloso,strongsubj,positive,,fabuloso
fácil,strongsubj,positive,,fácil
fascinación,strongsubj,positive,,facinación
factible,strongsubj,positive,,factible
fallo,strongsubj,negative,,fallo
falta,strongsubj,negative,,falta
fanfarrón,strongsubj,negative,,fanfarrón
fantástico,strongsubj,positive,,fantástico
farsa,strongsubj,negative,,farsa
fascinar,strongsubj,positive,,fascinar
fastidiar,strongsubj,negative,,fastidiar
fatal,strongsubj,negative,,fatal
fatiga,strongsubj,negative,,fatiga
favorecer,strongsubj,positive,,favorecer
favoritismo,strongsubj,negative,,favoritismo
felicitar,strongsubj,positive,,felicitar
feliz,strongsubj,positive,,feliz
fenomenal,strongsubj,positive,,fenomenal
feo,strongsubj,negative,,feo
fervor,strongsubj,positive,,fervor
festivo,weaksubj,positive,,festivo
fiable,strongsubj,positive,,fiable
fiasco,strongsubj,negative,,fiasco
ficticio,weaksubj,negative,,ficticio
fidelidad,strongsubj,positive,,fidelidad
fingir,strongsubj,negative,,fingir
firme,strongsubj,positive,,firme
flojo,weaksubj,negative,,flojo
fluido,weaksubj,positive,,fluido
fobia,strongsubj,negative,,fobia
fomentar,strongsubj,positive,,fomentar
forcejeo,strongsubj,negative,,forcejeo
forjado,weaksubj,positive,,forjado
fortuito,weaksubj,positive,,fortuito
fortuna,strongsubj,positive,,fortuna
fracaso,strongsubj,negative,,fracaso
frágil,weaksubj,negative,,frágil
franco,strongsubj,positive,,franco
fraudulento,strongsubj,negative,,fraudulento
frenético,weaksubj,negative,,frenético
fríamente,weaksubj,negative,,fríamente
frío,weaksubj,negative,,frío
frívolo,strongsubj,negative,,frívolo
fructuoso,weaksubj,positive,,fructuoso
frustrar,strongsubj,negative,,frustrar
fuerte,strongsubj,positive,,fuerte
pésima,strongsubj,negative,,pésima
fulminar,strongsubj,negative,,fulminar
funcional,strongsubj,positive,,funcional
furioso,strongsubj,negative,,furioso
galantemente,strongsubj,positive,,galantemente
ganas,strongsubj,positive,,ganas
nunca,weaksubj,negative,,nunca
ganga,strongsubj,positive,,ganga
generosidad,strongsubj,positive,,generosidad
genial,strongsubj,positive,,genial
genio,strongsubj,positive,,genio
genuino,weaksubj,positive,,genuino
golpe,strongsubj,negative,,golpe
gordo,weaksubj,negative,,gordo
gracioso,weaksubj,negative,,gracioso
gráfico,weaksubj,positive,,gráfico
grandioso,strongsubj,positive,,grandioso
gratificar,strongsubj,positive,,gratificar
grave,strongsubj,negative,,grave
pobre,strongsubj,negative,,pobre
grosero,strongsubj,negative,,grosero
gustoso,strongsubj,positive,,gustoso
hábil,strongsubj,positive,,hábil
hartar,strongsubj,negative,,hartar
hostil,strongsubj,negative,,hostil
improvisado,weaksubj,negative,,improvisado
humilde,strongsubj,positive,,humilde
humillar,strongsubj,negative,,humillar
humor,weaksubj,positive,,humor
ideal,strongsubj,positive,,ideal
imparcial,strongsubj,positive,,imparcial
imparte,weaksubj,positive,,imparte
imprudente,strongsubj,negative,,imprudente
inaceptable,strongsubj,negative,,inaceptable
inadaptado,strongsubj,negative,,inadaptado
inadvertido,weaksubj,negative,,inadvertido
inaguantable,strongsubj,negative,,inaguantable
inatacable,strongsubj,positive,,inatacable
incalculable,strongsubj,positive,,incalculable
incapaz,strongsubj,negative,,incapaz
incauto,strongsubj,negative,,incauto
incierto,weaksubj,negative,,incierto
incitar,strongsubj,negative,,incitar
incluso,weaksubj,positive,,incluso
incómodo,weaksubj,negative,,incómodo
incompatible,strongsubj,negative,,incompatible
incompleto,weaksubj,negative,,incompleto
incomprensible,strongsubj,negative,,incomprensible
inconcebible,strongsubj,negative,,inconcebible
inconcluso,strongsubj,negative,,inconcluso
incondicional,strongsubj,positive,,incondicional
inconsistencia,strongsubj,negative,,inconsistence
inconstitucional,strongsubj,negative,,inconstitucional
inconveniente,weaksubj,negative,,inconveniente
incorruptible,strongsubj,positive,,incorruptible
incrédulo,weaksubj,negative,,incrédulo
increíble,strongsubj,positive,,increíble
incuestionable,strongsubj,positive,,incuestionable
incumplido,strongsubj,negative,,incumplido
indebido,strongsubj,negative,,indebido
indeciso,weaksubj,negative,,indeciso
indefensible,strongsubj,negative,,indefensible
indefinido,weaksubj,negative,,indefinido
indeseable,strongsubj,negative,,indeseable
indestructible,strongsubj,positive,,indestructible
indeterminado,weaksubj,negative,,indeterminado
indiferente,strongsubj,negative,,indiferente
indigencia,strongsubj,negative,,indigencia
indignante,strongsubj,negative,,indignante
indiscreto,weaksubj,negative,,indiscreto
indiscutible,weaksubj,positive,,indiscutible
indispensable,strongsubj,positive,,indispensable
indispuesto,weaksubj,negative,,indispuesto
indisputable,strongsubj,positive,,indisputable
indistinto,weaksubj,positive,,indistinto
individualidad,weaksubj,positive,,individualidad
indomable,strongsubj,positive,,indomable
indudable,strongsubj,positive,,indudable
ineficacia,strongsubj,negative,,ineficacia
ineficiencia,strongsubj,negative,,ineficiencia
inelegible,weaksubj,negative,,ineligible
inelocuente,strongsubj,negative,,inelocuente
ineludiblemente,weaksubj,negative,,ineludiblemente
ineptitud,strongsubj,negative,,ineptitud
inequidades,strongsubj,negative,,inequidades
inequívoco,strongsubj,positive,,inequívoco
inercia,weaksubj,positive,,inercia
inescapable,weaksubj,positive,,inescapable
inesencial,weaksubj,negative,,inesencial
inesperado,weaksubj,negative,,inesperado
inestabilidad,weaksubj,negative,,inestabilidad
inestimable,strongsubj,positive,,inestimable
inevitable,weaksubj,negative,,inevitable
inexacto,weaksubj,negative,,inexacto
inexcusable,strongsubj,negative,,inexcusable
inexistente,weaksubj,negative,,inexistente
inexperto,weaksubj,negative,,inexperto
inexplicable,weaksubj,negative,,inexplicable
infalible,strongsubj,positive,,infalible
infame,strongsubj,negative,,infame
infeliz,strongsubj,negative,,infeliz
inferioridad,strongsubj,negative,,inferioridad
infernal,strongsubj,negative,,infernal
infestar,weaksubj,negative,,infestar
infiltrado,weaksubj,negative,,infiltrado
inflexible,strongsubj,negative,,inflexible
influyente,weaksubj,positive,,influyente
informativo,weaksubj,positive,,informativo
infortunio,strongsubj,negative,,infortunio
infracción,weaksubj,negative,,infracción
infringir,strongsubj,negative,,infringir
infundado,strongsubj,negative,,infundado
ingenioso,strongsubj,positive,,ingenioso
ingenuo,weaksubj,negative,,ingenuo
ingobernable,strongsubj,negative,,ingobernable
ingratitud,strongsubj,negative,,ingratitud
inhibir,weaksubj,negative,,inhibir
inhumano,strongsubj,negative,,inhumano
inicuo,strongsubj,negative,,inicuo
inimaginable,weaksubj,positive,,inimaginable
injusto,strongsubj,negative,,injusto
inmóvil,weaksubj,negative,,inmóvil
inmundo,strongsubj,negative,,inmundo
innecesario,weaksubj,negative,,innecesario
innovador,weaksubj,positive,,innovador
inocente,weaksubj,positive,,inocente
inofensivo,strongsubj,positive,,inofensivo
inolvidable,strongsubj,positive,,inolvidable
inombrable,strongsubj,negative,,inombrable
inoportuno,strongsubj,negative,,inoportuno
inquietud,strongsubj,negative,,inquietud
inquisitivo,strongsubj,positive,,inquisitivo
inseguridad,strongsubj,negative,,inseguridad
insensibilidad,strongsubj,negative,,insensibilidad
insensible,strongsubj,negative,,insensible
insignificancia,weaksubj,negative,,insignificancia
insinceridad,strongsubj,negative,,insinceridad
insinuar,weaksubj,negative,,insinuar
insistir,weaksubj,positive,,insistir
insociable,weaksubj,negative,,insociable
insolente,strongsubj,negative,,insolente
insolvente,weaksubj,negative,,insolvente
insoportable,strongsubj,negative,,insoportable
insostenible,strongsubj,negative,,insostenible
inspirar,strongsubj,positive,,inspirar
instigar,strongsubj,negative,,instigar
insubordinado,weaksubj,negative,,insubordinado
insuficiente,weaksubj,negative,,insuficiente
insufrible,strongsubj,negative,,insufrible
insultante,strongsubj,negative,,insultante
insuperable,weaksubj,positive,,insuperable
integridad,strongsubj,positive,,integridad
inteligente,strongsubj,positive,,inteligente
inteligible,strongsubj,positive,,inteligible
intencionadamente,weaksubj,positive,,intencionadamente
interceder,strongsubj,positive,,interceder
interes,weaksubj,positive,,interes
interferir,weaksubj,negative,,interferir
interrumpir,weaksubj,negative,,interrumpir
intimidación,weaksubj,negative,,intimidación
intimidad,weaksubj,negative,,intimidad
intimidar,weaksubj,negative,,intimidar
intolerable,strongsubj,negative,,intolerable
intranquilo,strongsubj,negative,,intranquilo
intransigente,strongsubj,negative,,intransigente
intratable,strongsubj,negative,,intratable
intrigante,strongsubj,negative,,intrigante
intuitivo,strongsubj,positive,,intuitivo
inusual,weaksubj,negative,,inusual
inútil,strongsubj,negative,,inútil
invadir,strongsubj,negative,,invadir
invalidar,strongsubj,negative,,invalidar
invaluable,strongsubj,positive,,invaluable
invencible,strongsubj,positive,,invencible
inviolable,strongsubj,positive,,inviolable
involuntario,weaksubj,negative,,involuntario
ira,strongsubj,negative,,ira
irónico,strongsubj,negative,,irónico
irracional,strongsubj,negative,,irracional
irrazonable,strongsubj,negative,,irrazonable
irreconciliable,strongsubj,negative,,irreconciliable
irreflexión,strongsubj,negative,,irreflexión
irrefutable,strongsubj,positive,,irrefutable
irregular,weaksubj,negative,,irregular
irrelevante,weaksubj,negative,,irrelevante
irreprochable,strongsubj,positive,,irreprochable
irresistible,strongsubj,positive,,irresistible
irrespetuoso,strongsubj,negative,,irrespetuoso
irresponsable,strongsubj,negative,,irresponsable
irreverente,strongsubj,negative,,irreverente
